company_name,company_number,category,website
Мастеровой,+7 (911) 556-81-41,Автосервисы,[]
Артэк,+7 (963) 200-44-07,Автосервисы,https://artek.st/
КарданСервис,+7 (921) 249-78-66,Ремонт карданных валов,https://kardanservis.ru/?region=29&utm_campaign=kardan_business_apx&utm_content={ad_id}&utm_medium=cpc&utm_source=yandex&utm_term={keyword}
BMW Garage,+7 (911) 554-88-34,Автосервисы,[]
Арпас,+7 (965) 734-70-10,Пункты техосмотра,http://to29.ru/
Граальавто,+7 (921) 082-96-44,Автосервисы,[]
Hd Motors,+7 (900) 911-30-91,Автосервисы,[]
Strela,+7 (999) 250-97-22,Автосервисы,https://avtoservis-strelkovaja-ulitsa.clients.site/
Форсаж,+7 (902) 504-19-19,Автосервисы,[]
Gs Studio,+7 (911) 587-59-28 (доб. 695999),Автосервисы,[]
Victoria Auto,+7 (902) 286-15-23,Автосервисы,[]
Strela,+7 (999) 250-97-22,Автосервисы,https://avtoservis-strelkovaja-ulitsa.clients.site/
ГаражНаЧас,+7 (911) 554-53-44,Автосервисы,https://garaznachas.ru/
Автор,+7 (993) 753-60-07,Шиномонтажи,http://автор29.рф/
Dionis,+7 (999) 250-40-94,Автосервисы,[]
АвтоКомплекс Н3,+7 (902) 286-44-83,Автомойки,[]
Бендикс,+7 (902) 504-57-28,Ремонт двигателей,[]
Автокомплекс на Малиновского,+7 (902) 286-14-34,Автосервисы,https://автокомплекс-29.рф/
AutoZone,+7 (960) 015-20-00,Автосервисы,[]
Bi-Bi,+7 (902) 195-11-44,Автосервисы,[]
Мой Гараж,+7 (960) 014-08-88,Автосервисы,[]
Авторемонт,+7 (921) 814-94-57,Кузовной ремонт,[]
Next,+7 (921) 240-35-05,Автосервисы,[]
"Автосервис, автотехцентр",+7 (921) 815-24-11,Автосервисы,[]
Автосервис29,+7 (962) 660-20-77,Автосервисы,[]
ИнРуСервис,+7 (960) 007-24-74,Автосервисы,http://inruzapchast.ru/
K&k,+7 (931) 402-04-14,Автосервисы,[]
АвтоLab,+7 (929) 141-91-00,Автосервисы,[]
Архмотордеталь-Сервис,+7 (921) 600-08-74,Тахографы,http://amds29.ru/
Робот-мойка,+7 (902) 702-80-80,Автомойки,[]
Чипанутые.рф,+7 (911) 558-51-58,Тюнинг,[]
Дизельгараж.рф,+7 (921) 720-52-76,Автосервисы,[]
K&k,+7 (931) 402-04-14,Ремонт двигателей,[]
ШинМастер,+7 (953) 933-56-56,Шиномонтажи,[]
АвтоЭксперт,+7 (965) 733-26-28,Автосервисы,[]
BMW Chip,+7 (950) 962-11-33,Автосервисы,[]
Комплекс,+7 (909) 556-04-35,Шиномонтажи,[]
Авто-Эксперт,+7 (921) 084-14-67,Автосервисы,https://avto-ekspert-ulica-nikitova.clients.site/
Орион Сервис,+7 (911) 675-54-97,Автосервисы,[]
НордКранСервис,+7 (911) 682-46-60,Автосервисы,http://норд-безопасность.рф/
Шамансервис,+7 (993) 753-70-62,Автосервисы,[]
ГрузМастер,+7 (911) 554-30-19,Автогрузоперевозки,http://www.gruzmaster29.ru/
Avto,+7 (921) 081-79-64,Автосервисы,https://avto-ulica-ordzhonikidze.clients.site/
Авторемонтная мастерская,+7 (921) 495-60-33,Автосервисы,[]
Black Station,+7 (902) 196-66-69,Автосервисы,[]
Автолюкс,+7 (953) 260-80-29,Шиномонтажи,[]
Tehnozona,+7 (911) 567-74-81,Автосервисы,[]
X-treme motors,+7 (911) 681-21-00,Автосервисы,[]
ГраНаДа,+7 (999) 168-36-29,Автосервисы,[]
Комплекс,+7 (909) 556-04-35,Шиномонтажи,[]
X-Drive,+7 (950) 259-28-07,Автосервисы,[]
Авиком-Норд,+7 (902) 286-66-72,Автосервисы,http://pctrade.ru/
ШинСервис,+7 (952) 304-02-22,Шины и диски,http://arhshinservice.ru/
Сход-развал,+7 (921) 495-60-33,Автосервисы,[]
Водородинг,+7 (902) 286-37-96,Автосервисы,[]
Свой гараж,+7 (952) 300-20-50,Автосервисы,[]
Шиномонтаж,+7 (902) 701-87-87,Шиномонтажи,[]
AutoBC Repair,+7 (999) 168-87-97,Автосервисы,[]
Saab,+7 (960) 016-54-54,Автосервисы,[]
ГАЗ,+7 (960) 007-24-74,Автомагазины,http://inruzapchast.ru/
Dvork servis-avto,+7 (950) 251-95-52,Автосервисы,[]
Шиномонтаж,+7 (911) 553-46-11,Шиномонтажи,[]
Шинпомощь,+7 (953) 260-60-05,Шиномонтажи,[]
Автомастерская,+7 (964) 290-66-77,Автосервисы,[]
Форест центр,+7 (921) 673-04-02,Спецтехника,http://forestcentr.ru/
Д&к,+7 (911) 556-41-79,Автосервисы,[]
Grass,+7 (963) 200-47-42,Автомойки,[]
Колесо,+7 (950) 257-11-33,Шиномонтажи,https://koleso-moskovskij-prospekt.clients.site/
Шиномонтажная мастерская,+7 (953) 937-62-48,Шиномонтажи,[]
Шиномонтажная мастерская,+7 (911) 553-17-21,Шиномонтажи,[]
ШинСервис,+7 (911) 554-57-16,Шины и диски,http://arhshinservice.ru/
ШинСервис,+7 (953) 930-43-34,Шины и диски,http://arhshinservice.ru/
Шиномонтажная мастерская,+7 (931) 410-94-57,Шиномонтажи,[]
Чип тюнинг АрхЧип,+7 (909) 555-57-70,Тюнинг,https://arhchip.ru/
Шиномонтаж,+7 (911) 594-22-42,Шиномонтажи,[]
Шиномонтаж,+7 (964) 301-32-94,Шиномонтажи,[]
Шиномонтаж на Коммунальной,+7 (921) 075-84-84,Шиномонтажи,[]
Шиномонтажная мастерская,+7 (953) 261-14-80,Шиномонтажи,[]
Шиномонтаж,+7 (911) 564-86-99,Шиномонтажи,[]
Магнумавто,+7 (911) 554-21-22,Шиномонтажи,[]
Шиномонтажная мастерская,+7 (902) 286-62-02,Шиномонтажи,[]
ColorGlo,+7 (921) 472-29-60,Автоателье,[]
София,+7 (902) 704-68-88,Агентства недвижимости,https://www.megapol.ru/office/418
Архнедвижимость,+7 (911) 594-88-88,Агентства недвижимости,https://arhnedvizhimost.ru/
Перспектива 24,+7 (906) 280-64-89,Агентства недвижимости,[]
Белое море,+7 (960) 009-29-99,Агентства недвижимости,http://белоеморе29.рф/
Архангельский Городской центр Недвижимости,+7 (909) 556-03-73,Агентства недвижимости,http://agcn.ru/
Уютный дом,+7 (950) 660-18-79,Агентства недвижимости,[]
Гранд Норд,+7 (921) 247-38-34,Агентства недвижимости,[]
Баринн,+7 (911) 554-03-88,Агентства недвижимости,https://arhangelsk.barinn.ru/online/
Результат,+7 (921) 242-55-41,Агентства недвижимости,https://vk.link/rezultat_realty
Kakdoma29,+7 (921) 290-40-40,Агентства недвижимости,http://kakdoma29.ru/
Северная столица,+7 (902) 286-20-72,Агентства недвижимости,[]
Полезные Люди,+7 (911) 577-77-00,Агентства недвижимости,[]
Самолет Плюс,+7 (911) 554-11-33,Агентства недвижимости,https://samoletplus.ru/
Перемена,+7 (909) 556-05-25,Агентства недвижимости,[]
Северный город,+7 (921) 244-59-20,Агентства недвижимости,[]
Риэлтор Макс,+7 (902) 194-44-44,Агентства недвижимости,http://realtormaks.ru/
Счастливый дом,+7 (921) 243-67-76,Агентства недвижимости,[]
Партнер Недвижимость,+7 (905) 293-09-99,Агентства недвижимости,[]
Город 29,+7 (960) 005-99-07,Агентства недвижимости,[]
Златоград,+7 (960) 010-17-10,Агентства недвижимости,[]
Коммерческая недвижимость,+7 (963) 200-33-03,Агентства недвижимости,http://akn29.ru/
Квартет,+7 (921) 245-87-65,Агентства недвижимости,http://kvartet29.ru/
Атриум,+7 (964) 301-74-76,Агентства недвижимости,[]
Гарантия,+7 (905) 873-56-12,Агентства недвижимости,[]
Аргос,+7 (962) 659-06-19,Агентства недвижимости,[]
7 Этаж,+7 (911) 670-41-78,Агентства недвижимости,[]
Риэлтор 29,+7 (902) 504-52-51,Агентства недвижимости,https://rieltor29.clients.site/
Бюро недвижимости № 1,+7 (906) 281-80-18,Агентства недвижимости,[]
Финансовые партнеры,+7 (911) 554-36-06,Ипотека,https://fin-partner.toprealtors.ru/
Восхождение,+7 (906) 285-74-09,Агентства недвижимости,[]
Недвижимость 29,+7 (952) 309-58-10,Агентства недвижимости,[]
Недвижимость Поморья,+7 (952) 250-83-20,Агентства недвижимости,[]
M O N O L i T,+7 (995) 397-19-96,Агентства недвижимости,[]
Nord Home,+7 (909) 550-78-38,Агентства недвижимости,[]
500 Квартир,+7 (953) 260-38-81,Агентства недвижимости,[]
Золотой Ключик,+7 (911) 554-44-16,Гостиницы,https://hotel29.ru/
Аренс,+7 (902) 193-48-32,Агентства недвижимости,[]
Marlin,+7 (921) 243-02-24,Агентства недвижимости,[]
Архнедвижимость,+7 (911) 594-88-88,Агентства недвижимости,[]
Меркурий,+7 (962) 659-94-41,Агентства недвижимости,[]
Арбат,+7 (921) 481-27-38,Агентства недвижимости,[]
СЗ Новый район,+7 (911) 594-03-93,Агентства недвижимости,[]
Авеню,+7 (964) 290-92-20,Агентства недвижимости,[]
CraftBeery,+7 (900) 920-18-92,"Бары, пабы",http://craftbeery.ru/
Яма,+7 (911) 553-61-62,"Бары, пабы",https://braumeister.pro/yama
БрауМастер,+7 (911) 598-55-35,Рестораны,https://braumeister.pro/kabinet
Igloobar,+7 (911) 554-88-38,Рестораны,[]
Карлз бар,+7 (964) 298-02-40,"Бары, пабы",[]
Помор,+7 (900) 917-46-91,Магазины пива,[]
Beer & Honey,+7 (902) 286-71-97,"Бары, пабы",[]
Миндаль,+7 (964) 301-63-53,Кафе,http://mymindal.ru/
У фонаря,+7 (965) 730-29-77,"Бары, пабы",[]
Живое разливное,+7 (902) 709-50-79,"Бары, пабы",https://sinboroda.ru/
Пивной цех,+7 (952) 258-95-37,Магазины пива,[]
Светлое & Тёмное,+7 (900) 911-02-65,Магазины пива,https://sinboroda.ru/
Пуговка,+7 (962) 662-51-15,Магазины рукоделия,[]
"Нитки, пряжа",+7 (911) 557-86-89,Магазины рукоделия,[]
Центральная ветеринарная клиника,+7 (965) 734-77-36,Ветклиники,https://cvc29.ru/
9 Жизней,+7 (963) 200-43-23,Ветклиники,https://www.девятьжизней.рф/
Мансарда,+7 (921) 293-86-89,Гостиницы,https://hotel-mansarda.ru/
Пур-Наволок,+7 (911) 594-10-00,Гостиницы,[]
Серафима,+7 (911) 554-13-14,Гостиницы,https://serafima29.ru/
Apart House СМ,+7 (921) 070-77-88,Гостиницы,https://novgorodskiy87.ru/
МакаровЪ,+7 (965) 733-38-88,Гостиницы,https://makarovhotel.ru/
АэроОтель,+7 (911) 875-32-14,Гостиницы,http://arhaerohotel.ru/
Отель на Воскресенской,+7 (960) 010-00-30,Гостиницы,[]
Apart House,+7 (931) 415-74-11,Гостиницы,http://novgorodskiy87.ru/
Гостиница Поморский,+7 (906) 281-86-85,Гостиницы,[]
Roomi,+7 (931) 401-00-00,Гостиницы,https://roomi.one/
Мини-отель в центре,+7 (950) 258-35-00,Гостиницы,[]
Альянс,+7 (911) 870-20-20,Гостиницы,[]
Золотой Ключик,+7 (911) 554-44-16,Гостиницы,https://hotel29.ru/
Посутка29 Первый,+7 (921) 240-81-23,Гостиницы,[]
Апартаменты Hygge Room,+7 (902) 507-08-33,Гостиницы,[]
Апартаменты Синяя Студия с Панорамным Окном,+7 (911) 585-91-01,Гостиницы,[]
Апартаменты на Проспекте Ломоносова 181,+7 (911) 554-16-95,Гостиницы,[]
Апартаменты на Ломоносова 119,+7 (911) 554-03-88,Гостиницы,[]
Апартаменты на Урицкого,+7 (902) 286-22-21,Гостиницы,[]
Гостевой дом Дом-баня Пар и веник,+7 (921) 240-81-23,Гостиницы,[]
Апартаменты на Воскресенской 114,+7 (911) 554-16-95,Гостиницы,[]
Апартаменты в Архангельске,+7 (921) 245-16-70,Гостиницы,[]
Апартаменты на Воскресенской 59,+7 (911) 554-16-95,Гостиницы,[]
Апартаменты 1 Комнатная на Ломоносова,+7 (909) 553-46-51,Гостиницы,[]
Апартаменты Баринн на Обводном 29,+7 (911) 554-16-95,Гостиницы,[]
Апартаменты Баринн на Ломоносова 177,+7 (911) 554-16-95,Гостиницы,[]
Favorite House On 10 Timme Street,+7 (909) 553-46-51,Гостиницы,[]
Апартаменты Студия 2,+7 (909) 553-46-51,Гостиницы,[]
Апартаменты 247,+7 (962) 662-99-99,Гостиницы,[]
Меблированные комнаты Посутка29 Космос большой,+7 (921) 240-81-23,Гостиницы,[]
Апартаменты Студия Барин на Воскресенской 55,+7 (911) 554-03-88,Гостиницы,[]
Апартаменты Квартира Баринн на Гайдара 57,+7 (911) 554-16-95,Гостиницы,[]
Апартаменты Зелёная квартира с потрясающим видом,+7 (904) 551-12-98,Гостиницы,[]
Апартаменты Central 3 Rooms,+7 (952) 309-06-79,Гостиницы,[]
Жилое Помещение Комсомолочка,+7 (909) 553-46-51,Гостиницы,[]
Апартаменты Желтая Студия с панорамным окном,+7 (904) 551-12-98,Гостиницы,[]
Апартаменты Баринн на Обводном 76,+7 (911) 554-16-95,Гостиницы,[]
Odnushka Na Pomorskoy Lodging house,+7 (995) 397-18-27,Гостиницы,[]
Аэропорт,+7 (901) 966-35-64,Гостевые дома,[]
А-Дизайн,+7 (953) 932-99-29,Дизайн интерьеров,http://adesign29.com/
Naada Design,+7 (911) 684-85-66,Дизайн интерьеров,[]
Бюро Мм,+7 (900) 919-79-29,Дизайн интерьеров,https://taplink.cc/buro_mm
Нью-Грейд,+7 (953) 933-02-11,Дизайн интерьеров,https://new-grade.ru/
Рио29,+7 (911) 584-57-89,Ремонт и отделка,[]
Marka,+7 (921) 073-10-04,Дизайн интерьеров,https://markainterior.ru/
Loft Look,+7 (960) 001-08-96,Столярные работы,https://loftlook.ru/
Кантри-Стиль,+7 (902) 701-95-21,Дизайн интерьеров,http://country29.ru/
Namalevich,+7 (965) 732-29-29,Светильники,[]
Артифекс,+7 (902) 507-53-30,Ремонт и отделка,[]
Архкуб,+7 (911) 598-85-99,Проектные организации,http://archqb.ru/
Студия интерьера Катерины Михиной,+7 (906) 284-84-82,Дизайн интерьеров,[]
Атмосфера,+7 (962) 664-54-87,Дизайн интерьеров,http://atmosfera29.tilda.ws/
Marka,+7 (960) 007-53-44,Дизайн интерьеров,https://markainterior.ru/
Chemeris Studio,+7 (953) 934-77-45,Дизайн интерьеров,https://chemeris.pro/
Атмосфера,+7 (962) 664-54-87,Дизайн интерьеров,http://atmosfera29.tilda.ws/
Студия ремонта Александра Богданова,+7 (964) 295-38-00,Ремонт и отделка,https://stydiaremonta29.ru/
Декор буржуа,+7 (905) 873-56-73,Дизайн интерьеров,[]
Детали,+7 (921) 241-47-72,Дизайн интерьеров,[]
Бюро интерьер & текстиль,+7 (911) 686-42-19,Шторы,[]
Союз-Техно,+7 (911) 058-14-95,Ремонт и отделка,[]
Irina Burch,+7 (911) 554-71-44 (доб. +79021903698),Магазины мебели,[]
Зооландия,+7 (962) 662-22-26,Ветаптеки,https://arh.зооландия.рф/
Космозоо,+7 (964) 299-32-33,Зоомагазины,[]
Petshop.ru,+7 (960) 000-90-45,Зоомагазины,https://www.petshop.ru/
Кот и пёс,+7 (911) 678-93-02,Зоомагазины,https://zooshop.club/
Чемпион,+7 (921) 720-58-60,Зоомагазины,https://taplink.cc/chempion29
Космозоо,+7 (964) 301-20-04,Зоомагазины,[]
Кот и пёс,+7 (911) 678-93-07,Зоомагазины,[]
АкваРим,+7 (909) 553-24-63,Аквариумы,http://www.akvarim29.ru/
29зoo,+7 (965) 734-76-17,Зоомагазины,https://husse.uds.app/c/goods
Чемпион,+7 (931) 403-70-27,Зоомагазины,https://taplink.cc/chempion29
ВетЗооРай,+7 (911) 681-09-74,Зоомагазины,[]
Семицветик,+7 (965) 733-36-03,Зоомагазины,https://29semicvetik.orgs.biz/
Ветзоорай,+7 (911) 554-02-64,Зоомагазины,[]
Чемпион,+7 (921) 811-47-88,Зоомагазины,https://taplink.cc/chempion29
Чемпион,+7 (921) 479-97-15,Зоомагазины,https://taplink.cc/chempion29
ЗооБум,+7 (911) 677-74-55,Зоомагазины,[]
Чемпион,+7 (921) 492-95-53,Зоомагазины,https://taplink.cc/chempion29
Чемпион,+7 (921) 086-15-72,Зоомагазины,https://taplink.cc/chempion29
ЗооБум,+7 (911) 598-97-67,Зоомагазины,[]
Чемпион,+7 (921) 670-54-46,Зоомагазины,https://taplink.cc/chempion29
Хвостик,+7 (952) 251-68-71,Зоомагазины,[]
Хвостик,+7 (991) 545-12-51,Ветклиники,https://centr-hvostik.ru/?utm_source=yandex_maps
ВетЗооРай,+7 (911) 598-18-05,Ветаптеки,[]
Лап-Усик,+7 (911) 682-02-01,Зоомагазины,[]
Зоомаркет Cash&Carry,+7 (960) 019-19-16,Зоотовары оптом,http://s-vet29.ru/
Зоотовары,+7 (952) 252-51-92,Зоомагазины,[]
Кот и пёс,+7 (911) 670-01-49,Зоомагазины,https://zooshop.club/
Центральная ветеринарная клиника,+7 (965) 734-77-36,Ветклиники,https://cvc29.ru/
Кот и пёс,+7 (960) 008-06-47,Зоомагазины,[]
ХвостУшки,+7 (964) 685-13-50,Зоомагазины,[]
Студия груминга Ольги Марченко,+7 (909) 550-40-30,Зоосалоны,[]
Артемон,+7 (921) 494-77-94,Зоосалоны,[]
Флора и Фауна,+7 (911) 578-64-39,Зоомагазины,[]
Доктор Вет,+7 (960) 015-40-10,Ветклиники,[]
Светофор,+7 (960) 010-60-79,Магазины продуктов,https://svetoforonline.ru/
Продукты,+7 (962) 662-94-00,Супермаркеты,[]
Петровский,+7 (909) 556-01-86,Магазины продуктов,[]
Гарант,+7 (962) 662-21-53,Магазины продуктов,http://garant21.ru/
Петровский,+7 (909) 556-01-86,Магазины продуктов,https://петромост.рф/
Продукты,+7 (962) 661-07-60,Магазины продуктов,[]
Продукты,+7 (962) 661-71-73,Супермаркеты,[]
Петровский,+7 (909) 556-01-86,Магазины продуктов,[]
Чёрный кот,+7 (931) 514-08-71,Магазины хозтоваров,http://www.black-kot.ru/
Союз,+7 (952) 302-43-64,Супермаркеты,https://тс-союз.рф/
Гарант,+7 (962) 659-74-97,Магазины продуктов,[]
Красное&Белое,+7 (922) 703-30-00,Алкогольные напитки,https://krasnoeibeloe.ru/
Апрель,+7 (911) 591-67-56,Молочные магазины,[]
Лико,+7 (953) 264-10-30,Магазины продуктов,[]
Петровский,+7 (909) 556-01-86,Продуктовые гипермаркеты,https://петромост.рф/
Двинские традиции,+7 (921) 479-88-34,Кондитерские,[]
Продукты,+7 (962) 662-94-00,Магазины продуктов,[]
Океан,+7 (911) 554-41-42,Рыбы и морепродукты,[]
Продукты,+7 (962) 659-35-71,Супермаркеты,[]
Чёрный кот,+7 (931) 514-08-62,Супермаркеты,[]
Светофор,+7 (902) 191-15-55,Магазины продуктов,https://svetoforonline.ru/
Апрель,+7 (953) 261-93-77,Мясные магазины,[]
Петровский,+7 (909) 556-01-86,Магазины продуктов,https://петромост.рф/
Мясной,+7 (953) 269-23-87,Мясные магазины,[]
Финские товары,+7 (921) 479-93-88,Магазины продуктов,[]
Петровский,+7 (909) 556-01-86,Магазины продуктов,https://петромост.рф/
Апрель,+7 (952) 301-46-77,Мясные магазины,[]
Двинские традиции,+7 (921) 479-88-34,Пекарни,[]
Петровский,+7 (909) 556-01-86,Магазины продуктов,https://петромост.рф/
Подкрышечку,+7 (911) 655-11-45,Магазины пива,https://podkr.ru/
Дом Армении,+7 (909) 556-00-60,Магазины продуктов,[]
Fishka,+7 (911) 685-86-65,Рыбы и морепродукты,[]
Двинские традиции,+7 (921) 479-88-34,Кулинарии,[]
Фруктоша,+7 (921) 077-95-91,Овощные магазины,[]
Каргополочка,+7 (902) 191-13-51,Магазины продуктов,[]
Свежие мясо,+7 (981) 556-18-59,Магазины продуктов,[]
Петровский,+7 (909) 556-01-86,Магазины продуктов,[]
Петровский,+7 (909) 556-01-86,Супермаркеты,[]
Петровский,+7 (909) 556-01-86,Магазины продуктов,https://петромост.рф/
Петровский,+7 (909) 556-01-86,Магазины продуктов,https://петромост.рф/
Архфиш,+7 (921) 084-91-31,Рыбы и морепродукты,[]
Рыба,+7 (952) 301-56-43,Магазины продуктов,[]
Фруктоша,+7 (921) 077-95-91,Овощные магазины,[]
Продукты,+7 (950) 661-59-41,Магазины продуктов,[]
Фрукты и овощи,+7 (999) 250-63-53,Овощные магазины,[]
Centr Suhofruktov,+7 (962) 662-77-77,Снеки,[]
Магазин сыров и мясных деликатесов,+7 (911) 681-33-13,Магазины сыров,[]
Фруктоша,+7 (921) 077-95-91,Овощные магазины,[]
Фруктовый рай,+7 (911) 870-42-91,Овощные магазины,[]
Магазин овощей и фруктов,+7 (921) 491-71-01,Овощные магазины,[]
Фрутик,+7 (964) 301-74-31,Овощные магазины,[]
Центр сухофруктов,+7 (911) 583-32-93,Овощные магазины,[]
Фрукты овощи,+7 (900) 918-18-19,Овощные магазины,[]
Фруктовый рай,+7 (911) 870-42-91,Овощные магазины,[]
Фруктоша,+7 (921) 077-95-91,Овощные магазины,[]
Фруктовый Рай,+7 (911) 870-42-91,Снеки,[]
Онежская молочная продукция,+7 (911) 559-30-56,Молочные магазины,[]
Фруктоша,+7 (921) 077-95-91,Овощные магазины,[]
Фруктовый Рай,+7 (911) 870-42-91,Овощные магазины,[]
Мясо,+7 (911) 553-27-70,Мясные магазины,[]
OneWay Lounge,+7 (967) 479-11-33,Кальян-бары,[]
Mist,+7 (921) 487-01-12,Кальян-бары,http://mist29.tilda.ws/#rec602673869
Tt Lounge,+7 (911) 594-77-99,Кальян-бары,[]
БГ,+7 (931) 402-40-04,Кафе,[]
Иль Густо,+7 (909) 556-07-67,Рестораны,https://ilgusto29.ru/
Санта Паста,+7 (921) 677-67-67,Кафе,[]
El Fuego,+7 (960) 005-88-07,Рестораны,http://www.elfuego.ru/
Купе,+7 (902) 702-09-20,Кафе,[]
Ялта,+7 (911) 594-43-55,Рестораны,http://yalta29.ru/
Крым,+7 (900) 918-11-65,Кафе,[]
La-Ваш,+7 (960) 018-51-20,Кафе,https://lavash29.orgs.biz/
Блин Виль,+7 (909) 554-51-22,Кафе,http://lvk29.ru/
Санта Паста,+7 (921) 470-00-11,Кафе,[]
Брусника,+7 (921) 810-42-86,Кафе,[]
Оливье,+7 (909) 554-03-84,Рестораны,http://lvk29.ru/
Армения,+7 (909) 556-06-66,Рестораны,[]
Столица Поморья,+7 (900) 915-55-44,Рестораны,[]
Старфудс,+7 (900) 911-13-78,Быстрое питание,http://старфудс.рф/
Грядка,+7 (953) 939-04-72,Кафе,http://gryadka-family.ru/
Gussi Coffee,+7 (921) 081-84-66,Кофейни,https://gussi.su/
1234,+7 (902) 709-69-96,Кофейни,https://coffee1234.myresto.online/
На часок,+7 (900) 916-27-27,Кафе,[]
Очаг,+7 (905) 293-85-89,Кафе,[]
Хочу Лето,+7 (921) 078-32-75,Кафе,[]
Абшерон,+7 (921) 241-44-10,Кафе,[]
Simple. cafe,+7 (953) 269-27-69,Кафе,https://simplecafe.tilda.ws/
Райский уголок,+7 (960) 017-20-14,Кафе,[]
Эребуни,+7 (981) 556-21-18,Кафе,[]
Старый город,+7 (911) 594-04-55,Рестораны,https://restoran29.ru/
Иль Моторре,+7 (909) 554-33-88,Кофейни,[]
Территория Еды,+7 (921) 243-17-17,"Бары, пабы",[]
Иль Моторре,+7 (909) 554-33-88,Кофейни,[]
Банкет-клуб 93,+7 (952) 250-93-93,Кафе,[]
Регистан,+7 (964) 301-05-55,Кафе,[]
Сеньор Денёр,+7 (960) 019-93-95,Быстрое питание,https://senordoner.ru/
Шашлыки по-Армянски,+7 (911) 554-33-10,Кафе,[]
Coffee Company,+7 (911) 594-22-77,Кофейни,[]
Community,+7 (996) 502-27-90,Кофейни,[]
Старый Архангельск,+7 (905) 293-87-77,Столовые,[]
Пироговая,+7 (911) 655-53-53,Кафе,http://pirogovaya29.ru/
Большая кастрюля,+7 (931) 407-68-67,Быстрое питание,[]
Восточный квартал,+7 (921) 670-88-71,Рестораны,[]
Грузин,+7 (950) 660-63-30,Кафе,[]
АндерСон,+7 (909) 556-01-21,Кафе,https://anderson29.ru/
Met Tea,+7 (921) 078-70-05,Кафе,[]
Шоколадница,+7 (991) 470-70-04,Рестораны,https://shoko.ru/
No Cap,+7 (994) 222-55-55,"Бары, пабы",[]
Лава,+7 (921) 498-63-22,Быстрое питание,[]
"Сити, Кофейня",+7 (960) 002-75-73,Кофейни,http://сити-кофейня.рф/
Папа Гирос,+7 (911) 559-49-69,Кафе,[]
Дача,+7 (921) 476-18-98,Столовые,[]
Восточный рай,+7 (952) 257-25-22,Кафе,[]
Smetana,+7 (953) 269-54-10,Кафе,[]
Rampa street cafe,+7 (909) 552-22-44,Быстрое питание,[]
Старфудс,+7 (953) 930-84-80,Быстрое питание,https://старфудс.рф/
Старфудс,+7 (960) 007-03-44,Быстрое питание,http://старфудс.рф/
Грядка,+7 (952) 259-59-25,Быстрое питание,https://gryadka-family.ru/
Трактир,+7 (921) 483-54-90,"Бары, пабы",[]
Дон шаурмафия,+7 (911) 877-52-25,Кафе,[]
Гигант,+7 (900) 918-62-26,Быстрое питание,[]
Эдисон,+7 (909) 555-53-01,"Бары, пабы",[]
Гала,+7 (953) 931-91-39,Рестораны,[]
Старфудс,+7 (965) 730-92-44,Быстрое питание,http://старфудс.рф/
Иль Моторе,+7 (909) 554-33-88,Кофейни,[]
Кафе,+7 (911) 560-21-41,Кафе,[]
G'art Bar,+7 (902) 286-70-98,"Бары, пабы",[]
Иль Моторе,+7 (909) 554-33-88,Кофейни,[]
Scandinavia,+7 (921) 083-83-52,Кофейни,[]
Tantuni,+7 (911) 685-48-48,Быстрое питание,[]
Coffee Like,+7 (3412) 90-82-92,Кофейни,https://coffee-like.com/
